filename,lat,long,lat_long
,30.08,-94.15,"30.08, -94.15"
,42.71,-84.56,"42.71, -84.56"
,33.57,-117.19,"33.57, -117.19"
,33.25,-112.37,"33.25, -112.37"
,33.11,-96.67,"33.11, -96.67"
,33.23,-87.53,"33.23, -87.53"
,47.95,-122.19,"47.95, -122.19"
,38.27,-104.61,"38.27, -104.61"
,29.7,-98.12,"29.7, -98.12"
,33.66,-84.57,"33.66, -84.57"
,25.95,-80.24,"25.95, -80.24"
,45.5,-122.44,"45.5, -122.44"
,33.49,-117.13,"33.49, -117.13"
,35.29,-106.7,"35.29, -106.7"
,40.75,-89.62,"40.75, -89.62"
,32.32,-95.31,"32.32, -95.31"
,39.57,-119.72,"39.57, -119.72"
,35.39,-80.64,"35.39, -80.64"
,34.93,-120.44,"34.93, -120.44"
,34.27,-119.25,"34.27, -119.25"
,33.43,-112.64,"33.43, -112.64"
,33.94,-118.13,"33.94, -118.13"
,29.59,-95.63,"29.59, -95.63"
,33.67,-117.91,"33.67, -117.91"
,30.32,-95.49,"30.32, -95.49"
,47.66,-117.23,"47.66, -117.23"
,26.08,-80.28,"26.08, -80.28"
,45.53,-122.94,"45.53, -122.94"
,34,-117.47,"34, -117.47"
,39.59,-104.87,"39.59, -104.87"
,40.5,-74.35,"40.5, -74.35"
,40.02,-105.25,"40.02, -105.25"
,42.31,-83.21,"42.31, -83.21"
,26.32,-98.16,"26.32, -98.16"
,33.93,-84.37,"33.93, -84.37"
,44.52,-87.99,"44.52, -87.99"
,34.06,-117.91,"34.06, -117.91"
,42.08,-71.02,"42.08, -71.02"
,37.08,-113.56,"37.08, -113.56"
,44.06,-121.31,"44.06, -121.31"
,47.48,-122.19,"47.48, -122.19"
,38.92,-94.38,"38.92, -94.38"
,39.96,-85.97,"39.96, -85.97"
,34.07,-118.03,"34.07, -118.03"
,41.68,-86.27,"41.68, -86.27"
,34.12,-117.39,"34.12, -117.39"
,40.56,-74.29,"40.56, -74.29"
,32.8,-116.96,"32.8, -116.96"
,33.96,-118.34,"33.96, -118.34"
,34.19,-118.33,"34.19, -118.33"
,33.91,-98.53,"33.91, -98.53"
,38.36,-121.97,"38.36, -121.97"
,39.97,-86.15,"39.97, -86.15"
,29.54,-81.24,"29.54, -81.24"
,36.07,-94.17,"36.07, -94.17"
,42.26,-71.01,"42.26, -71.01"
,37.56,-122.31,"37.56, -122.31"
,39.76,-121.82,"39.76, -121.82"
,42.47,-70.96,"42.47, -70.96"
,42.67,-73.8,"42.67, -73.8"
,32.52,-114.52,"32.52, -114.52"
,41.66,-70.94,"41.66, -70.94"
,36.7,-76.63,"36.7, -76.63"
,34.4,-117.32,"34.4, -117.32"
,41.56,-90.6,"41.56, -90.6"
